title,amazon_author,amazon_rating,amazon_num_reviews,amazon_price,amazon_year,amazon_genre,conlit_genre,conlit_pubdate,conlit_author_gender,conlit_author_nationality,conlit_total_ratings,goodreads_rating,goodreads_series,goodreads_genres,goodreads_edition,goodreads_publisher,goodreads_publish_date,goodreads_first_publish_date,goodreads_awards,goodreads_num_ratings,goodreads_likedPercent,goodreads_price,nyt_published_date,nyt_list_name_encoded,nyt_price,nyt_weeks_on_list
11/22/63: A Novel,Stephen King,4.6,2052,22,2011-01-01,Fiction,BS,2011-01-01,M,US,476132.0,4.31,,"['Fiction', 'Historical Fiction', 'Science Fiction', 'Time Travel', 'Fantasy', 'Horror', 'Thriller', 'Audiobook', 'Historical', 'Mystery']",,Scribner,2011-11-08,,"['Locus Award Nominee for Best SF Novel (2012)', 'World Fantasy Award Nominee for Best Novel (2012)', 'ITW Thriller Award for Best Hard Cover Novel (2012)', ""Grand Prix de l'Imaginaire Nominee for Roman étranger (2014)"", 'British Fantasy Award Nominee for Best Novel (2012)', 'このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (2014)', '本屋大賞 Nominee for Translated Fiction (2014)', 'Goodreads Choice Award for Science Fiction (2011) and Nominee for Best of the Best  (2018)']",420225.0,96.0,6.21,2012-02-26,hardcover-fiction,35.0,14.0
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011-01-01,Fiction,BS,2011-01-01,M,US,600362.0,4.32,A Song of Ice and Fire #5,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Dragons', 'Adult', 'Adventure', 'Audiobook', 'Epic']",,Bantam,2011-07-12,,"['Hugo Award Nominee for Best Novel (2012)', 'Locus Award for Best Fantasy Novel (2012)', 'World Fantasy Award Nominee for Best Novel (2012)', 'SFX Award for Best Novel (2012)', 'British Fantasy Award Nominee for Best Novel (2012)', 'Goodreads Choice Award for Fantasy and Nominee for Favorite Book (2011) and Nominee for Best of the Best  (2018)']",555900.0,97.0,,,,,
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017-01-01,Fiction,BS,2016-01-01,M,,415245.0,4.34,,"['Historical Fiction', 'Fiction', 'Russia', 'Historical', 'Audiobook', 'Book Club', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Adult']",,Penguin Books,2019-03-26,2016-09-06,"['Kirkus Prize Nominee for Fiction (2016)', 'Goodreads Choice Award Nominee for Historical Fiction (2016)', 'Book of the Month Book of the Year Award Nominee (2016)', 'International Dublin Literary Award Nominee (2018)']",293330.0,96.0,6.29,2019-12-29,trade-fiction-paperback,0.0,34.0
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011-01-01,Non Fiction,MEM,2011-01-01,F,,106087.0,3.91,,"['Nonfiction', 'Memoir', 'True Crime', 'Biography', 'Autobiography', 'Crime', 'Biography Memoir', 'Abuse', 'Adult', 'Audiobook']",,Simon Schuster,2011-07-12,2011-07-11,['Goodreads Choice Award Nominee for Memoir & Autobiography (2011)'],96524.0,92.0,3.32,2011-10-02,hardcover-nonfiction,24.99,10.0
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2014-01-01,Fiction,PW,2014-01-01,M,US,1291694.0,4.33,,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Adult', 'Audiobook', 'France', 'Book Club', 'Adult Fiction']",First Scribner hardcover edition May 2014,Scribner,2014-05-06,2014-05-28,"['Pulitzer Prize for Fiction (2015)', 'Audie Award for Fiction (2015)', 'ALA Alex Award (2015)', 'Dayton Literary Peace Prize Nominee for Fiction (2015)', 'Ohioana Book Award for Fiction (2015)', 'Australian Book Industry Award (ABIA) for International Book (2015)', 'Andrew Carnegie Medal for Fiction (2015)', 'Idaho Book of the Year Award (2014)', 'National Book Award Finalist for Fiction (2014)', 'Goodreads Choice Award for Historical Fiction (2014) and Nominee for Best of the Best  (2018)', 'International Dublin Literary Award Nominee (2016)']",1024442.0,96.0,4.45,2016-04-10,hardcover-fiction,0.0,99.0
All the Light We Cannot See,Anthony Doerr,4.6,36348,14,2015-01-01,Fiction,PW,2014-01-01,M,US,1291694.0,4.33,,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Adult', 'Audiobook', 'France', 'Book Club', 'Adult Fiction']",First Scribner hardcover edition May 2014,Scribner,2014-05-06,2014-05-28,"['Pulitzer Prize for Fiction (2015)', 'Audie Award for Fiction (2015)', 'ALA Alex Award (2015)', 'Dayton Literary Peace Prize Nominee for Fiction (2015)', 'Ohioana Book Award for Fiction (2015)', 'Australian Book Industry Award (ABIA) for International Book (2015)', 'Andrew Carnegie Medal for Fiction (2015)', 'Idaho Book of the Year Award (2014)', 'National Book Award Finalist for Fiction (2014)', 'Goodreads Choice Award for Historical Fiction (2014) and Nominee for Best of the Best  (2018)', 'International Dublin Literary Award Nominee (2016)']",1024442.0,96.0,4.45,2016-04-10,hardcover-fiction,0.0,99.0
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,2015-01-01,Non Fiction,MEM,2013-01-01,M,,122291.0,4.0,,"['Nonfiction', 'Biography', 'Military Fiction', 'History', 'War', 'Memoir', 'Autobiography', 'Audiobook', 'Military History', 'Biography Memoir']",Large Print,HarperCollins,2012-01-03,,[],110501.0,91.0,5.91,,,,
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013-01-01,Fiction,BS,2013-01-01,M,Afghanistan/US,337498.0,4.05,,"['Fiction', 'Historical Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels', 'Book Club', 'Literary Fiction', 'Historical', 'Drama']",,Riverhead Books,2013-05-21,2012-02-29,"['Australian Book Industry Award (ABIA) Nominee for International Book (2014)', 'Andrew Carnegie Medal Nominee for Fiction (2014)', 'Goodreads Choice Award for Fiction (2013)', 'DSC Prize Nominee for South Asian Literature  for Longlist (2015)']",301931.0,95.0,4.39,2013-09-15,hardcover-fiction,0.0,15.0
Born to Run,Bruce Springsteen,4.7,3729,18,2016-01-01,Non Fiction,MEM,2016-01-01,M,,189518.0,4.3,,[],,,,,[],,,,,,,
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011-01-01,Fiction,MID,2011-01-01,M,,110808.0,4.24,Diary of a Wimpy Kid #6,"['Humor', 'Fiction', 'Childrens', 'Realistic Fiction', 'Middle Grade', 'Graphic Novels', 'Young Adult', 'Comedy', 'Comics', 'Diary']",First Edition,Amulet Books,2011-11-15,2010-10-28,"[""Goodreads Choice Award Nominee for Middle Grade & Children's (2011)""]",95974.0,94.0,4.17,2012-11-11,series-books,0.0,198.0
